CMDLINE /usr/local/bin/python3 task_3.py
MEM 1.710938 1624863466.2277
MEM 22.503906 1624863466.3280
MEM 35.445312 1624863466.4283
MEM 39.078125 1624863466.5286
MEM 39.078125 1624863466.6289
